Antioxidant;Antioxidans
Dendritic cell;Dendritische Zelle
Dengue shock syndrome;
Dentatorubral-pallidoluysian atrophy;
Depersonalization disorder;
Depressive personality disorder;
Dermatitis herpetiformis;Dermatitis herpetiformis Duhring
Dermatophytosis;Dermatophytose
Development of the gonads;
Dexamethasone suppression test;Dexamethason-Suppressionstest
Dextro-Transposition of the great arteries;
DiGeorge syndrome;Mikrodeletionsyndrom 22q11
Diabetic diet;
Diabetic foot ulcer;
Diabetic neuropathy;
Diagnosis of malaria;
Diagnosis of schizophrenia;Symptome und Diagnose der Schizophrenie
Diaphoresis;
Diarrhea in developing regions;
Diastasis symphysis pubis;
Diet and attention deficit hyperactivity disorder;
Diet and obesity;
Diffuse large B-cell lymphoma;Diffuses großzelliges B-Zell-Lymphom
Diffusing capacity;Kohlenmonoxid-Transferfaktor
Digenea;Digenea
Dilated cardiomyopathy;Dilatative Kardiomyopathie
Dilation and evacuation;
Dioctophyme renale;Nierenwurm
Diphyllobothriasis;Diphyllobothriasis
Disability-adjusted life year;DALY
Disaster medicine;
Discredited HIV/AIDS origins theories;
Disease burden;
Disease management (health);Disease-Management-Programm
Disease registry;
Disease surveillance;
Dislocation of jaw;
Disorders of consciousness;
Disorders of sex development;
Dissociation (psychology);Dissoziation (Psychologie)
Distal 18q-;De-Grouchy-Syndrom
Distal radius fracture;Distale Radiusfraktur
Distal renal tubular acidosis;
Diving disorders;
Dogger Bank itch;Doggerbank-Krankheit
Domestic violence and pregnancy;
Dopamine hypothesis of schizophrenia;Dopaminhypothese
Doping in sport;Doping
Dorsal nexus;
Doula;Doula
Dressing (medical);Verband (Medizin)
Drug withdrawal;Entzugssyndrom
Dry drowning;
Dubin–Johnson syndrome;Dubin-Johnson-Syndrom
Duchenne muscular dystrophy;Muskeldystrophie Duchenne
Duct ectasia of breast;
Dwarfism;Kleinwuchs
Dysgraphia;
Early-onset Alzheimer's disease;
Eating disorder;Essstörung
Echinococcosis;Echinokokkose
Echolalia;Echolalie
Effect of oxygen on chronic obstructive pulmonary disease;
Effects of nuclear explosions on human health;
Egg allergy;Hühnereiweißallergie
Ehlers–Danlos syndrome;Ehlers-Danlos-Syndrom
Ehrlichiosis;
Elective caesarean section;
Electric shock;Stromunfall
Electrical burn;
Electrical impedance myography;
Electrical impedance tomography;Elektrische Impedanz-Tomografie
Electroanalgesia;
Electromagnetic hypersensitivity;Elektrosensibilität
Electromagnetic radiation and health;Elektromagnetische Umweltverträglichkeit
Electronic health record;Elektronische Gesundheitsakte
Electronic medical record;
Electrotherapy;Elektrotherapie
Emaciation;Inanition
Embryo;
Empty nose syndrome;Empty Nose Syndrome
Encephalitis;Enzephalitis
Enchondroma;Enchondrom
Endocarditis;Endokarditis
Endodontic therapy;Wurzelkanalbehandlung
Endolymphatic sac tumor;
Endovascular aneurysm repair;
Endovascular coiling;
Enema;Einlauf (Medizin)
Enterobiasis;
Environmental degradation;
Environmental toxicants and fetal development;
Eosinophilia;Eosinophilie
Epidemic model;
Epidemiology of bed bugs;
Epidemiology of cancer;
Epidemiology of motor vehicle collisions;
Epidermoid cyst;Epidermoidzyste
Epidermolysis bullosa;Epidermolysis bullosa
Epidural;Periduralanästhesie
Epidural hematoma;Hirnblutung#Epiduralblutung
Epileptogenesis;
Episiotomy;Dammschnitt
Epithelial–mesenchymal transition;Epithelial-mesenchymale Transition
Equilibrioception;
Eradication of infectious diseases;
Erythema annulare centrifugum;
Erythrocyte aggregation;
Erythrocyte sedimentation rate;Blutsenkungsreaktion
Erythropoiesis;Erythropoese
Esophageal atresia;Ösophagusatresie
Esophageal pH monitoring;
Essential tremor;
Evolutionary medicine;
Exanthema subitum;Drei-Tage-Fieber
Excoriation disorder;Skin Picking Disorder
Executive system;
Exhaled nitric oxide;
External urine collection devices;
Extraocular muscles;Augenmuskeln
Eyeglass prescription;Brillenpass
FODMAP;FODMAP
Facial cleft;
Facial nerve paralysis;Fazialislähmung
Failed back syndrome;
Fallopian tube cancer;
Falls in older adults;
Familial Mediterranean fever;Familiäres Mittelmeerfieber
Familial dysautonomia;Familiäre Dysautonomie
Fear of falling;
Febrile neutrophilic dermatosis;Sweet-Syndrom
Fecal bacteriotherapy;Übertragung der Darmflora
Fecal occult blood;Guajak-Test
Female hysteria;
Female infertility;
Feminine essence concept of transsexuality;
Femoral hernia;Hernie#Schenkelhernie
Fertility medication;
Fertility preservation;
Fetal alcohol syndrome;Fetales Alkoholsyndrom
Fetal movement;
Fibrinolysis;Fibrinolyse
Fibrocystic breast changes;Mastopathie
Fiddler's neck;
Field hospital;Feldlazarett
First Nations and diabetes;
Flap (surgery);
Fluid balance;Hypovolämie#Isovolämie, Normovolämie
Focal and diffuse brain injury;
Focal dystonia;Fokale Dystonie
Folate deficiency;
Follicular lymphoma;Follikuläres Lymphom
Fontan procedure;Fontan-Operation
Fontanelle;Fontanelle
Food guide pyramid;Ernährungspyramide
Forehead;
Forensic pathology;Rechtsmedizin
Fourth ventricle;Hirnventrikel#Vierter Ventrikel
Fractional flow reserve;
Fragile X syndrome;Fragiles-X-Syndrom
Fresh frozen plasma;Gefrorenes Frischplasma
Friedreich's ataxia;Friedreich-Ataxie
Frontal lobe disorder;Frontalhirnsyndrom
Frontal lobe injury;
Fugue state;
Functional specialization (brain);Lokalisationstheorie
Fungal keratitis;
Fungal pneumonia;
Futile medical care;
Gallbladder cancer;Gallenblasenkarzinom
Ganglion cyst;Ganglion (Überbein)
Gas gangrene;Gasbrand
Gastric antral vascular ectasia;GAVE-Syndrom
Gastric lavage;Magenspülung
Gastrointestinal stromal tumor;Gastrointestinaler Stromatumor
General medical examination;Früherkennung von Krankheiten
Geriatrics;Geriatrie
Germ theory of disease;Keimtheorie
Germinal center B-cell like diffuse large B-cell lymphoma;
Gestational age;Schwangerschaftsdauer
Giant-cell arteritis;Riesenzellarteriitis
Giant-cell carcinoma of the lung;
Giant-cell tumor of bone;Riesenzelltumor
Glasses;
Glaucoma surgery;
Glioma;Gliom
Glomerulonephritis;Glomerulonephritis
Glossopharyngeal nerve;Nervus glossopharyngeus
Glucagon;Glucagon
Glucocorticoid remediable aldosteronism;
Gluten-free diet;
Glymphatic system;
Gnathostomiasis;
Goeckerman therapy;
Goitre;Struma
Gonadotropin;Gonadotropine
Goodpasture syndrome;Goodpasture-Syndrom
Grain entrapment;
Granuloma;Granulom
Granuloma inguinale;Granuloma inguinale
Graves' ophthalmopathy;Endokrine Orbitopathie
Gray's Anatomy;Gray’s Anatomy
Greater trochanteric pain syndrome;
Guidelines for human subject research;
Gunther disease;Morbus Günther
HELLP syndrome;HELLP-Syndrom
Haemophilia;Hämophilie
Haemophilia A;
Hair analysis;Haaranalytik
Hair loss;Haarausfall
Hair transplantation;Haartransplantation
Halitosis;Mundgeruch
Hand, foot and mouth disease;Hand-Fuß-Mund-Krankheit
Hand eczema;Handekzem
Hantavirus;Hantaviren
Harm reduction;Schadensminimierung (Abhängigkeitssyndrom)
Harvey mannequin;
Hashimoto's thyroiditis;Hashimoto-Thyreoiditis
Health care in Canada;
Health care in Israel;
Health effects from noise;
Health in Afghanistan;
Health in Angola;
Health in Brazil;
Health in Zimbabwe;
Health system;Gesundheitssystem
Health systems by country;
Health threat from cosmic rays;
Healthcare and the LGBT community;
Healthcare in England;
Healthcare in Georgia (country);
Healthcare reform in China;
Hearing loss with craniofacial syndromes;
Heart rate;Herzfrequenz
Heat stroke;
Helmet removal (sports);
Helminthiasis;
Hemangioblastoma;Hämangioblastom
Hematology;Hämatologie
Hematopoietic stem cell;Hämatopoetische Stammzelle
Hemicrania continua;Hemicrania continua
Hemolytic disease of the newborn;Morbus haemolyticus neonatorum
Hepatitis B in China;
Hepatitis B virus;Hepatitis-B-Virus
Hepatitis C virus;Hepatitis-C-Virus
Hepatitis D;Hepatitis D
Hepatology;Hepatologie
Hepatosplenic T-cell lymphoma;
Hereditary angioedema;Hereditäres Angioödem
Hereditary diffuse leukoencephalopathy with spheroids;
Hereditary nonpolyposis colorectal cancer;Hereditäres non-polypöses kolorektales Karzinom
Herpangina;Herpangina
Herpes B virus;Herpesvirus simiae
Herpes gladiatorum;
Hiccup;Schluckauf
High-frequency ventilation;Hochfrequenzbeatmung
High-intensity focused ultrasound;Hochintensiver fokussierter Ultraschall
High resolution CT;
Hip arthroscopy;
Hip bone;
Hirschsprung's disease;Kongenitales Megakolon
Hispanic paradox;
Histopathology;
Histoplasmosis;Histoplasmose
History and culture of breastfeeding;
History of health care reform in the United States;
History of herbalism;
History of hypertension;
History of pain theory;Gate-Control-Theory
History of smallpox;
Histrionic personality disorder;Histrionische Persönlichkeitsstörung
Home birth;Hausgeburt
Hookworm vaccine;
Hospital bed;Krankenhausbett
Hot flash;Hitzewallung
Human back;
Human body temperature;
Human coronavirus HKU1;
Human coronavirus OC43;
Human herpesvirus 7;
Human lung;
Human musculoskeletal system;Stütz- und Bewegungsapparat
Human nose;
Human parainfluenza viruses;Parainfluenza
Human reproduction;
Human skull;
Hunter syndrome;Morbus Hunter
Hybrid cardiac surgery;
Hydrocephalus;Hydrocephalus
Hygiene hypothesis;
Hyperglycemia;Hyperglykämie
Hyperhidrosis;Hyperhidrose
Hyperinsulinemia;
Hyperosmia;
Hypertensive emergency;Hypertensive Krise
Hypertensive encephalopathy;
Hyperthermia therapy;
Hypertriglyceridemia;Hypertriglyceridämie
Hypertrophic cardiomyopathy;Hypertrophe Kardiomyopathie
Hypertrophy of breast;
Hyperventilation syndrome;
Hypnagogia;Hypnagogie
Hypoactive sexual desire disorder;Frigidität
Hypoallergenic;
Hypokalemic periodic paralysis;
Hypomania;Hypomanie
Hypophosphatemia;Hypophosphatämie
Hypoplastic left heart syndrome;Hypoplastisches Linksherz-Syndrom
Hypospadias;Hypospadie
Hypothalamic–pituitary–adrenal axis;
ICHD classification and diagnosis of migraine;
ILO Classification;
Ichthyosis bullosa of Siemens;
Ictal;
Idiopathic CD4+ lymphocytopenia;
Idiopathic childhood occipital epilepsy of Gastaut;
Idiopathic hypersomnia;
Idiopathic pulmonary fibrosis;Idiopathische interstitielle Pneumonie#Idiopathische pulmonale Fibrose (IPF)
Idiopathic pulmonary haemosiderosis;
Illness;
Immune tolerance;Immuntoleranz
Imperforate anus;Analatresie
Impingement syndrome;Impingement
Implantation (human embryo);Nidation
Infanticide;Kindstötung
Infectious causes of cancer;
Inferior alveolar nerve anaesthesia;
Inflammatory bowel disease;Chronisch-entzündliche Darmerkrankungen
Inflammatory breast cancer;Brustkrebs#Histologische Klassifikation
Informed consent;Informierte Einwilligung
Inguinal hernia;Leistenbruch
Instillation abortion;
Insulin tolerance test;
Intellectual disability;Geistige Behinderung
Inter-rater reliability;Interrater-Reliabilität
Intermittent mandatory ventilation;
International Liaison Committee on Resuscitation;International Liaison Committee on Resuscitation
Internet addiction disorder;Internetabhängigkeit
Intersex surgery;
Interstitial pregnancy;
Intra-aortic balloon pump;Intraaortale Ballonpumpe
Intracranial hemorrhage;Hirnblutung
Intracranial hypotension;
Intraductal carcinoma;
Intraductal papillary mucinous neoplasm;
Intravenous regional anesthesia;Intravenöse Regionalanästhesie
Inverse ratio ventilation;
Inverted nipple;Schlupfwarzen
Involutional melancholia;
Iodine deficiency;Jodmangel
Iridodialysis;
Iron overload;Hämochromatose
Irregular menstruation;
Irritant diaper dermatitis;Windeldermatitis
Ivor Royston;
Jasminum officinale;Echter Jasmin
Jaundice;
Jet injector;Impfpistole
Johns Hopkins School of Medicine;
Juvenile idiopathic arthritis;Juvenile idiopathische Arthritis
Juvenile myelomonocytic leukemia;
Kaposi's sarcoma-associated herpesvirus;Humanes Herpesvirus 8
Karyotype;Karyotyp
Kava;Kava
Keloid;Keloid
Keratinocyte;Keratinozyt
Keratolytic winter erythema;
Ketonuria;Ketonurie
Ketosis;Ketose (Stoffwechsel)
Knockout mouse;Knockout-Maus
Koro (medicine);Koro (Psychologie)
Lacunar stroke;
Lamar Soutter;
Lambda Beta Society;
Langerhans Cell Histiocytosis;
Laparoscopic surgery;Laparoskopische Chirurgie
Laparotomy;Laparotomie
Laryngeal papillomatosis;
Laryngeal tube;
Laryngectomy;Laryngektomie
Laryngoscopy;
Laser blended vision;
Latent autoimmune diabetes of adults;LADA
Latent tuberculosis;
Lateralization of brain function;Lateralisation des Gehirns
Latrodectism;
Le Fort fracture of skull;Oberkieferfraktur
Left atrial appendage occlusion;
Lichen sclerosus;Lichen sclerosus
Light therapy;Lichttherapie
Linear no-threshold model;
Lip;
Lip lift;
Lissencephaly;Lissenzephalie
Listeriosis;Listeriose
Loa loa filariasis;Loiasis
Loin pain hematuria syndrome;
London Ambulance Service;
Long-term effects of cannabis;
Low-threshold treatment programs;
Lower gastrointestinal bleeding;
Loxoscelism;
Ludwig's angina;
Lumbar spinal stenosis;Spinale Stenose
Lung abscess;
Lung cancer staging;
Lung cancer susceptibility;
Lymphatic filariasis;Elephantiasis
Lymphocytosis;Lymphozytose
Lymphopoiesis;
Lysosomal storage disease;Lysosomale Speicherkrankheit
MChip;
Macroglossia;Makroglossie
Macular degeneration;Makuladegeneration
Maggot therapy;Madentherapie
Magnesium citrate;Magnesiumcitrat
Magnetic resonance neurography;Elektroneurografie
Male infertility;
Male rape;
Malignant peripheral nerve sheath tumor;
Malingering;Simulant
Mammary ductal carcinoma;
Management of dehydration;
Management of depression;
Management of schizophrenia;Therapie der Schizophrenie
Mansonella perstans;
Mansonelliasis;
Mantle cell lymphoma;Mantelzelllymphom
March fracture;
Mast cell leukemia;
Mastitis;Mastitis
Mastocytosis;Mastozytose
Mastopexy;Mastopexie
Maxilla;
Mechanisms of schizophrenia;
Meconium aspiration syndrome;Mekoniumaspiration
Medial knee injuries;
Median arcuate ligament syndrome;Truncus-coeliacus-Kompressionssyndrom
Median nerve palsy;
Median rhomboid glossitis;
Medical certificate;Attest
Medical instruments and implants;
Medical microbiology;Medizinische Mikrobiologie
Medical neutrality;
Medical software;
Medical test;
Medical thermometer;Fieberthermometer
Medicine in China;
Medulloblastoma;Medulloblastom
Meigs syndrome;Meigs-Syndrom
Memory;
Memory disorder;
Meningeal syphilis;
Meningococcal disease;
Menstruation;
Mental disorders diagnosed in childhood;
Mental health care in South Africa;
Mental health tribunal;
Meta-analysis;Metaanalyse
Metabolic acidosis;Metabolische Azidose
Metacarpus;Mittelhandknochen
Metal fume fever;Metalldampffieber
Metastasectomy;
Metastatic breast cancer;
Miasma theory;Miasma
Microbicides for sexually transmitted diseases;Mikrobizid
Microbiology;
Micropenis;Mikropenis
Microvascular decompression;
Microwave burn;
Migraine-associated vertigo;
Miliaria;Miliaria (Hauterkrankung)
Minimaze procedure;
Mirrored-self misidentification;
Mitral valve annuloplasty;
Mixed state (psychiatry);
Mohs surgery;
Molar pregnancy;Blasenmole
Mold health issues;
Monoamniotic twins;
Monochorionic twins;
Monochromacy;Monochromat
Monoclonal gammopathy of undetermined significance;Monoklonale Gammopathie unklarer Signifikanz
Mood disorder;Affektive Störung
Morning sickness;Schwangerschaftserbrechen
Motivation for rape;
Mucormycosis;
Multiple chemical sensitivity;Vielfache Chemikalienunverträglichkeit
Multiple endocrine neoplasia type 2b;
Multiple myeloma;Multiples Myelom
Multiple sclerosis signs and symptoms;
Muscle contraction;Muskelkontraktion
Mushroom poisoning;Pilzvergiftung
Music-specific disorders;
Mycobacterium avium-intracellulare infection;
Mycobacterium tuberculosis;Mycobacterium tuberculosis
Mycosis;Mykose
Myelitis;Myelitis
Myiasis;Myiasis
Myocardial infarction complications;
Myocardial infarction diagnosis;
Myocardial infarction management;
Myocardial rupture;
Myringotomy;
Ménière's disease;Morbus Menière
Müllerian agenesis;Mayer-Rokitansky-Küster-Hauser-Syndrom
Münchausen syndrome by proxy;Münchhausen-Stellvertretersyndrom
NHS primary care trust;
NIH classification of headaches;
Nail biting;Onychophagie
Named patient programs;
Nanomedicine;
Narcolepsy;Narkolepsie
Nasal EPAP;
Nasal cavity;Nasenhöhle
Nasal fracture;Nasenbeinfraktur
National Health Service (England);National Health Service
National Institute of Neurological Disorders and Stroke;National Institute of Neurological Disorders and Stroke
National Institute on Drug Abuse;
National Institutes of Health;National Institutes of Health
Necrobiosis lipoidica;Necrobiosis lipoidica
Necrotizing enterocolitis;Nekrotisierende Enterokolitis
Necrotizing fasciitis;Nekrotisierende Fasziitis
Needlestick injury;Nadelstichverletzung
Neglected tropical diseases;Vernachlässigte Krankheiten
Neonatal alloimmune thrombocytopenia;Alloimmun-Thrombozytopenie
Neonatal bowel obstruction;
Neonatal intensive care unit;
Neonatal jaundice;Neugeborenengelbsucht
Neonatal perception;
Neonatal sepsis;
Neonatal stroke;
Nephron;Nephron
Nephropathy;Nephropathie
Nerve;
Nerve plexus;
Neural correlates of consciousness;Neuronales Korrelat des Bewusstseins
Neurodegeneration;Neurodegenerative Erkrankung
Neurodegenerative disease;
Neurodiversity;Portal:Psychologie/Fehlende Artikel (Umbau)
Neurofibrillary tangle;
Neurofibroma;Neurofibrom
Neurofibromatosis type I;Neurofibromatose Typ 1
Neurogastroenterology;
Neuroimmunology;
Neuroleptic malignant syndrome;Malignes Neuroleptika-Syndrom
Neuromuscular junction;Motorische Endplatte
Neuromusculoskeletal;
Neurosis;Neurose
Neutrophilic eccrine hidradenitis;
Night eating syndrome;Night Eating Syndrome
Night terror;Pavor nocturnus
NmVac4-A/C/Y/W-135;
Nocardiosis;
Nomenclature of mechanical ventilation;
Non-24-hour sleep–wake disorder;
Non-Hodgkin lymphoma;Non-Hodgkin-Lymphom
Non-alcoholic fatty liver disease;
Non-communicable disease;
Non-invasive intracranial pressure measurement methods;
Non-rebreather mask;
Non-surgical rhinoplasty;
Nose-picking;Nasenbohren
Nosebleed;Epistaxis
Nuchal scan;Nackentransparenz
Nursemaid's elbow;Radiusköpfchen-Subluxation
Nutrition and pregnancy;
Nutrition transition;
NuvaRing;
Obsessive–compulsive disorder;
Obsessive–compulsive personality disorder;Zwanghafte Persönlichkeitsstörung
