Antioxidant;Antioxidans
Splenic marginal zone lymphoma;Milz randzone Lymphom
Splenomegaly;Splenomegalie
Spondyloarthropathy;Spondyloarthropathy
Spondylolisthesis;Spondylolisthesis
Spondylosis;Spondylosis deformans
Spongiosis;Spongiose
Spontaneous remission;Spontanremission
Sports hypnosis;Sport-Hypnose
Sports medicine;Sportmedizin
St. Vincent Declaration;St. Vincent-Deklaration
Stabbing;Erdolchen
Standardized uptake value;SUV (Nuklearmedizin)
Standards of Care for the Health of Transsexual, Transgender, and Gender Nonconforming People;Standards der Pflege für die Gesundheit von Transsexuellen, Transgender und Geschlecht Fehlerhafter Menschen
Stanford V;Stanford V
Staphylococcal Enterotoxin B;Staphylokokken-Enterotoxin B
Staphylococcus saprophyticus;Staphylococcus saprophyticus
Stapled hemorrhoidopexy;Stapler-Hämorrhoidopexie
Stasis dermatitis;Stasis dermatitis
Statis papillomatosis;Statis-Papillomatose
Steatocystoma multiplex;Steatocystoma multiplex
Steatohepatitis;Steatohepatitis
Stenosing tenosynovitis;Stenosing Sehnenscheidenentzündung
Stenosis;Stenose
Stereotypic movement disorder;Stereotype Bewegungsstörung
Sterilization (medicine);Sterilisation (Empfängnisverhütung)
Sternal fracture;Sternal-Fraktur
Steroid-induced osteoporosis;Steroid-induzierten Osteoporose
Steroid diabetes;Steroid-diabetes
Steroid rosacea;Steroid-rosacea
Stewart–Treves syndrome;Stewart-Treves-Syndrom
Stiff-person syndrome;Stiff-person-Syndrom
Stillbirth;Totgeburt
Stimming;Stimming
Stingray injury;Stingray Verletzungen
Stoma (medicine);Stoma (Medizin)
Stomatitis;Mundfäule
Stool guaiac test;Guajak-Test
Stop TB Partnership;Stop TB Partnership
Strabismus surgery;Augenmuskeloperation
Strain (injury);Muskelzerrung
Stratified squamous epithelium;Geschichtete plattenepithel
Streff syndrome;Streff-Syndrom
Strength training;Krafttraining
Strephosymbolia;Strephosymbolia
Stress fracture;Knochenbruch#Ermüdungsfraktur
Stretch marks;Dehnungsstreifen
Stretch reflex;Dehnreflex
Stretta procedure;Stretta Verfahren
Strongyloidiasis;Strongyloidiasis
Structured intermittent therapy;Strukturierte intermittierende Therapie
Stunted growth;Wachstumsstörungen
Stupor;Sopor
Sturge–Weber syndrome;Sturge-Weber-Syndrom
Sub-internship;Sub-Praktikum
Subacute bacterial endocarditis;Subakute bakterielle Endokarditis
Subacute lymphocytic thyroiditis;Subakute lymphozytäre Thyreoiditis
Subacute sclerosing panencephalitis;Masern#Subakute sklerosierende Panenzephalitis
Subclavian steal syndrome;Subclavian-Steal-Syndrom
Subclavian triangle;Subclavia Dreieck
Subclinical infection;Subklinische Infektion
Subconjunctival hemorrhage;Hyposphagma
Subcutaneous T-cell lymphoma;Subkutane T-Zell-Lymphom
Subcutaneous injection;Subkutan
Subdural empyema;Subduralen Empyem
Subgenual area 25;Subgenual Bereich 25
Subinvolution;Subinvolution
Submandibular triangle;Trigonum submandibulare
Submasseteric space;Submasseteric Raum
Submucosal plexus;Submukösen plexus
Suboccipital triangle;Suboccipital Dreieck
Substantia nigra;Substantia nigra
Subthalamic nucleus;Subthalamicus
Subthalamus;Subthalamus
Subungual hematoma;Subungual Hämatom
Sudden unexpected death in epilepsy;SUDEP
Sudden unexpected death syndrome;Plötzliche, unerwartete Tod-Syndrom
Suicide crisis;Selbstmord Krise
Sunovion;Sunovion
Superfecundation;Überschwängerung
Superficial spreading melanoma;Oberflächliche Verbreitung Melanom
Superior frontal gyrus;Superior frontalen gyrus
Superior oblique myokymia;Obliquus-superior-Myokymie
Superior salivatory nucleus;Superior salivatory Kern
Superior temporal gyrus;Superior temporalen gyrus
Superior vena cava syndrome;Obere Einflussstauung
Supernumerary nipple;Milchleiste#Fehlbildungen
Supertaster;Supertaster
Support group;Selbsthilfegruppe
Surface epithelial-stromal tumor;Oberfläche Epithel-Stroma-tumor
Surfactant therapy;Surfactant-Therapie
Surfer's ear;Gehörgangsexostose
Surgeon;Chirurg
Surgical anastomosis;Op-Anastomose
Surgical incision;Chirurgische Inzision
Surgical management of fecal incontinence;Chirurgische Behandlung von Stuhlinkontinenz
Surgical margin;Chirurgische Marge
Surgical mask;Mundschutz (Medizin)
Surgical oncology;Chirurgische Onkologie
Surgical pathology;Chirurgische Pathologie
Surgical positions;Chirurgische Positionen
Surgical suture;Nähen (Medizin)
Surrogate markers;Surrogat-Marker
Surviving Sepsis Campaign;Surviving Sepsis Campaign
Susceptible individual;Anfällig einzelnen
Suture (joint);Sutur
Swelling (medical);Schwellung (medizinische)
Swinging-flashlight test;Swinging-Flashlight-Test
Symmetric seronegative polyarthritis;Symmetrische seronegative polyarthritis
Sympathetic ophthalmia;Sympathische Ophthalmie
Symphysiotomy;Symphysiotomy
Symptom;Symptom
Symptomatic treatment;Symptomatische Therapie
Syncope (medicine);Synkope (Medizin)
Syncope (phonetics);Synkope (Sprachwissenschaft)
Syndrome of subjective doubles;Syndrom der subjektiven verdoppelt
Synovial sarcoma;Synovialen Sarkom
Syringomyelia;Syringomyelie
Systematic review;Systematische Übersichtsarbeit
Systemic-onset juvenile idiopathic arthritis;Systemische-juveniler idiopathischer arthritis
Systemic disease;Systemische Erkrankung
Systemic inflammation;Systemische Entzündungen
Systemic inflammatory response syndrome;Systemisches inflammatorisches Response-Syndrom
Systolic heart murmur;Systolisches herzgeräusch
T-cell acute lymphoblastic leukemia;T-Zell-akute lymphatische Leukämie
T-tubule;T-Tubuli
TEDMED;TEDMED
TNF receptor associated periodic syndrome;TNF-rezeptor-assoziierten periodischen syndrome
TOFI;TOFI
Tabes dorsalis;Tabes dorsalis
Table of modes of mechanical ventilation;Tabelle der Modi mechanischer Belüftung
Tachycardia-dependent bundle branch block;Tachykardie-abhängige bundle branch block
Tachypnea;Tachypnoe
Taenia saginata;Rinderbandwurm
Taenia solium;Schweinebandwurm
Takayasu's arteritis;Takayasu-Arteriitis
Takotsubo cardiomyopathy;Stress-Kardiomyopathie
Tanapox;Tanapox
Tapetum lucidum;Tapetum lucidum
Tarsal coalition;Tarsale Koalition
Tarsal tunnel syndrome;Fußwurzel-tunnel-Syndrom
Tauopathy;Tauopathie
Tears;Träne
Tectum;Tectum
Telangiectasia;Teleangiektasie
Telencephalon;Telencephalon
Teleradiology;Teleradiologie
Telerehabilitation;Telerehabilitation
Telogen effluvium;Telogen effluvium
Temporal arteritis;Arteriitis temporalis
Tendinitis;Tendinitis
Tendinopathy;Tendopathie
Tendinosis;Sehnenriss
Tendon reflex;Sehnen-reflex
Tenosynovitis;Sehnenscheidenentzündung
Tension pneumothorax;Spannung pneumothorax
Teratology;Teratologie
Teratoma;Teratom
Teratospermia;Teratospermia
Test panel;Test-panel
Test sensitivity;Empfindlichkeit
Testicular sarcoidosis;Hoden-Sarkoidose
Tetany;Tetanie
Tetraplegia;Tetraplegie
Thalamic reticular nucleus;Nucleus reticularis
The Donabedian Model;Das Modell Von Donabedian
The dose makes the poison;Die Dosis macht das Gift
Therac-25;Therac-25
Therapeutic community;Therapeutische Gemeinschaft
Therapeutic ultrasound;Ultraschalltherapie
Third-hand smoke;Dritthandrauchen
Third ventricle;Dritte Ventrikel
Thoracic aortic aneurysm;Thorakalen Aortenaneurysma
Thoracic outlet syndrome;Thoracic-outlet-Syndrom
Thrombin time;Thrombin Zeit
Thrombocytosis;Thrombozytose
Thromboelastography;Thromboelastography
Thrombolysis;Thrombolyse
Thrombolytic drug;Thrombolyse-Medikament
Thromboregulation;Thromboregulation
Thrombotic microangiopathy;Thrombotischen Mikroangiopathie
Thunderclap headache;Vernichtungskopfschmerz
Thyroid neoplasm;Neubildung der Schilddrüse
Thyroid nodule;Schilddrüsenknoten
Thyroid peroxidase;Thyreoperoxidase
Thyroid storm;Schilddrüse Sturm
Thyroidectomy;Thyreoidektomie
Tick-borne disease;Zeckenstich
Tidal volume;Atmung#Atemzugvolumen
Tilt table test;Kipptischuntersuchung
Timeline of respiratory therapy;Zeitleiste der Atemtherapie
Tinea cruris;Tinea inguinalis
Tinea incognito;Tinea incognito
Tinea versicolor;Pityriasis versicolor
Titer;Titer (Medizin)
Todd's paralysis;Todd Lähmungen
Toddler;Kleinkind
Toe walking;Zehen-Fuß
Tonsillar crypts;Krypten der Tonsillen
Topical anesthetic;Lokalanästhetikums
Torsion dystonia;Ziehen-Oppenheim-Syndrom
Total anterior circulation infarct;Insgesamt vorderen Zirkulation Infarkt
Total body irradiation;Total body irradiation
Total body surface area;Gesamten Körperoberfläche
Totally drug-resistant tuberculosis;Völlig medikamentenresistenter Tuberkulose
Toxic and nutritional optic neuropathy;Giftige und Ernährung Optikusneuropathie
Toxic megacolon;Toxisches Megakolon
Toxic multinodular goitre;Giftig multinodular Kropf
Toxicity Class;Toxizität Klasse
Toxicogenomics;Toxicogenomics
Toxicology;Toxikologie
Toxicology testing;Toxikologische Tests
Toxoplasmic chorioretinitis;Toxoplasmic chorioretinitis
Trabeculectomy;Trabeculectomy
Trabeculoplasty;Trabeculoplasty
Tracheitis;Tracheitis
Tracheo-oesophageal puncture;Tracheo-Speiseröhren-Punktion
Tracheoesophageal fistula;Tracheoesophageal Fistel
Tracheomalacia;Tracheomalazie
Traction (orthopedics);Extensionsverband
Traction alopecia;Traktion Alopezie
Transcutaneous electrical nerve stimulation;Transkutane elektrische Nervenstimulation
Transcutaneous pacing;Transkutane Stimulation
Transdermal continuous oxygen therapy;Transdermale kontinuierliche Sauerstoff-Therapie
Transfusion associated circulatory overload;Transfusion verbundenen Kreislauf-überlastung
Transfusion medicine;Transfusionsmedizin
Transitional living;Übergangszeit Leben
Translational medicine;Translationale Medizin
Transmissible spongiform encephalopathies;Transmissible spongiforme Enzephalopathien
Transmissible spongiform encephalopathy;Transmissible spongiforme Enzephalopathie
Transnasal esophagoscopy;Transnasal esophagoscopy
Transplacental carcinogenesis;Auch der Krebsentstehung
Transposition of the great vessels;Transposition der großen Arterien
Transpulmonary pressure;Transpulmonalen Drucksituation
Transthoracic echocardiogram;Die transthorakale Echokardiogramm
Transurethral resection of the prostate;Transurethrale Resektion
Transvenous pacing;Transvenous Tempo
Transverse myelitis;Transverse Myelitis
Trauma center;Trauma center
Trauma surgery;Unfallchirurgie
Trauma team;Trauma-team
Traumatic asphyxia;Traumatische asphyxia
Travel medicine;Reisemedizin
Treatment of mental disorders;Behandlung von psychischen Störungen
Tree nut allergy;Baum-Nuss-Allergie
Trench fever;Schützengrabenfieber
Trendelenburg gait;Trendelenburg-Gang
Triangles of the neck;Dreiecke des Halses
Triangular alopecia;Dreieckige Alopezie
Trichilemmal cyst;Trichilemmal Zyste
Trichinosis;Trichinellose
Trichomonas vaginalis;Trichomonas vaginalis
Trichomycosis axillaris;Trichomycosis axillaris
Trichophagia;Trichophagie
Trichorrhexis invaginata;Trichorrhexis invaginata
Tricuspid valve stenosis;Trikuspidalklappe Stenose
Trinucleotide repeat disorder;Trinukleotiderkrankungen
Triple-negative breast cancer;Triple-negativem Brustkrebs
Triple X syndrome;Triple-X-Syndrom
Tripod fracture;Stativ-Fraktur
Trismus;Kieferklemme
Trochleitis;Trochleitis
Trophoblast;Trophoblast
Tropical disease;Tropenkrankheit
Tropical spastic paraparesis;Tropische Spastische Paraparese
Tropical sprue;Tropische Sprue
Trousseau sign of malignancy;Trousseau-Zeichen der Malignität
True hermaphroditism;Wahre hermaphroditismus
Trypanosomiasis;Trypanosomiasis
Tubal reversal;Tubal-Umkehrung
Tube dependency;Rohr-Abhängigkeit
Tuberculin;Tuberkulin
Tuberculinic acid;Tuberculinic Säure
Tuberculosis radiology;Tuberkulose Radiologie
Tuberoinfundibular pathway;Tuberoinfundibular Weg
Tuberomamillary nucleus;Tuberomamillary Kern
Tullio phenomenon;Tullio-Phänomen
Tumescent liposuction;Tumeszenz-Liposuktion
Tummy time;Bauch Zeit
Tumor M2-PK;Pyruvatkinase M2
Tumor marker;Tumormarker
Tunnel vision;Tunnel vision
Ty21a;Ty21a
Tympanometry;Tympanometrie
Tympanoplasty;Tympanoplastik
Tympanostomy tube;Paukendrainage
Type III hypersensitivity;Typ-III-überempfindlichkeit
Type II hypersensitivity;Typ-II-überempfindlichkeit
Type IV hypersensitivity;Typ-IV-überempfindlichkeit
Type I hypersensitivity;Typ-I-überempfindlichkeit
Types of rape;Arten von Vergewaltigung
Typhoid Mary;Mary Mallon
Tyrosinemia;Tyrosinämie
Ulna;Ulna
Ulnar claw;Ulnaren Klaue
Ultrasound;Ultraschall
Umbilical hernia;Nabelbruch
Unconsciousness;Bewusstseinsstörung
Understanding Lung Sounds;Verständnis Lungen-Sounds
Unequal leg length;Beinlängendifferenz
Unhappy triad;Unhappy Triad
Uniparental disomy;Uniparentale Disomie
United States National Library of Medicine;United States National Library of Medicine
United States Public Health Service;United States Public Health Service
University of Aberdeen School of Medicine;Universität Aberdeen School of Medicine
University of Texas Medical Branch;University of Texas Medical Branch
University of Utah School of Medicine;University of Utah School of Medicine
Unsafe abortion;Engelmacher
Unwarranted variation;Ungerechtfertigte variation
Upper gastrointestinal series;Oberen Magen-Darm-Serie
Upper motor neuron;Upper motor neuron
Upper motor neuron lesion;Upper motor neuron Läsion
Upper motor neuron syndrome;Upper motor neuron-Syndrom
Urachal cancer;Urachal Krebs
Urea breath test;13C-Harnstoff-Atemtest
Uremia;Urämie
Ureterostomy;Ureterostomy
Urethral cancer;Urothelkarzinom
Urethral stricture;Harnröhrenstriktur
Urethritis;Urethritis
Urethrocele;Urethrocele
Urethroplasty;Urethroplasty
Urge incontinence;Drang-Inkontinenz
Urgent care;Dringende Betreuung
Urinary cast;Zylinder (Urin)
Urinary catheterization;Katheterismus
Urinary diversion;Harn-Ablenkung
Urinary retention;Harnverhaltung
Urobilinogen;Urobilinogen
Urodilatin;Urodilatin
Urodynamic testing;Gängigen urodynamischen testen
Urogynecology;Urogynecology
Urolithiasis;Harnstein
Urology;Urologie
Urticarial vasculitis;Urtikarielle Vaskulitis
Uterine artery embolization;Uterusmyom-Embolisation
Uterine contraction;Wehe
Uterine malformation;Fehlbildungen der Gebärmutter
Uterine prolapse;Uterusprolaps
Uterine rupture;Uterusruptur
Uterine sarcoma;Uterus-Sarkom
Uterus transplantation;Gebärmutter-transplantation
Utilization behavior;Auslastung Verhalten
Vaccination and religion;Impfung und religion
Vaccine-preventable diseases;Impfung vermeidbare Krankheiten
Vaccinia immune globulin;Vaccinia-immun-globulin
Vaginal cancer;Vaginalkarzinom
Vaginal discharge;Ausfluss
Vaginal ring;Verhütungsring
Vaginal septum;Vaginale septum
Vagovagal reflex;Vagovagal reflex
Vagus nerve stimulation;Vagusnervstimulator
Valgus deformity;Valgusstellung
Valvular heart disease;Herzklappenfehler
Vancomycin-resistant Enterococcus;Vancomycin-resistenter Enterococcus
Vancomycin-resistant Staphylococcus aureus;Vancomycin-resistente Staphylococcus aureus
Vanishing bile duct syndrome;Vanishing bile duct-Syndrom
Vanishing twin;Vanishing twin
Varicella zoster virus;Varizella-Zoster-Virus
Varus deformity;Varusstellung
Vascular access steal syndrome;Vascular access-steal-Syndrom
Vascular bypass;Gefäß-bypass
Vascular recruitment;Gefäß-Einstellung
Vaso-occlusive crisis;Vaso-okklusiv-Krise
Vasoplegic syndrome;Vasoplegic-Syndrom
Vasospasm;Vasospasmus
Vector (epidemiology);Vektor (Biologie)
Vector control;Vektor-Steuerung
Vellus hair;Vellushaar
Velopharyngeal inadequacy;Velopharyngeal Unzulänglichkeit
Venipuncture;Blutentnahme
Venom;Venom
Venous blood;Venöse Blut
Venous cutdown;Venöse cutdown
Venous hum;Venöse hum
Venous thrombosis;Venöse Thrombose
Venous translucence;Venöse Transluzenz
Venous ulcer;Ulcus cruris
Ventilator-associated lung injury;Ventilator-assoziierten Lungenschädigung
Ventouse;Vakuumextraktion
Ventral lateral nucleus;Ventral lateral Kern
Ventral nuclear group;Ventrale nuclear group
Ventral tegmental area;Area tegmentalis ventralis
Ventricular aneurysm;Ventrikuläre Aneurysma
Ventricular assist device;Ventricular Assist Device
Ventricular dyssynchrony;Ventrikuläre dyssynchrony
Ventricular escape beat;Ventrikuläre Flucht schlagen
Ventricular hypertrophy;Hypertrophie
Ventricular remodeling;Ventrikuläre Umbau
Ventricular septal defect;Ventrikelseptumdefekt
Ventriculitis;Ventriculitis
Ventriculomegaly;Ventriculomegaly
Verotoxin-producing Escherichia coli;Enterohämorrhagische Escherichia coli
Verruciform xanthoma;Verruciform xanthoma
Verrucous carcinoma;Verrucous Karzinom
Vertebral fixation;Wirbelsäulen-Fixierung
Vertical banded gastroplasty surgery;Vertikale banded gastroplasty Chirurgie
Vesicouretic reflux;Vesicouretic reflux
Vesselplasty;Vesselplasty
Vestibular nerve;Gleichgewichtsnerv
Vestibular neuronitis;Neuritis vestibularis
Vestibule of the ear;Vorraum des Ohres
Veterinary anesthesia;Veterinäranästhesie
Veterinary physician;Tierarzt
Vi capsular polysaccharide vaccine;Vi Kapsel-Polysaccharid-Impfstoff
Vibrio cholerae;Vibrio cholerae
Violence against doctors in China;Gewalt gegen ärzte in China
Viral cardiomyopathy;Virale Kardiomyopathie
Viral load;Viruslast
Virginal breast hypertrophy;Jungfräuliche Brust Hypertrophie
Virilization;Virilisierung
Virtual patient;Virtuelle patient
Virtual reality therapy;Virtual-reality-Therapie
Vision loss;Der Verlust der Sehkraft
Visual agnosia;Seelenblindheit
Visual field;Gesichtsfeldes
Vitamin B6 excess;Überschüssiges Vitamin B6
Vitamin C and the common cold;Vitamin C und das Schnupfen
Vitamin E deficiency;Vitamin-E-Mangel
Vitreomacular adhesion;Vitreomakulare Haftung
Vocal cord dysfunction;Vocal cord dysfunction
Vocal cord paresis;Rekurrensparese
Vocal fold nodule;Stimmlippenknötchen
Voice change;Stimmwechsel
Volition;Volition
Volvulus;Volvulus
Vulnerable adult;Anfällig für Erwachsene
Vulvar vestibulitis;Vulväre vestibulitis
Vulvectomy;Vulvektomie
Vulvodynia;Vulvodynie
Vulvovaginal health;Vulvo-vaginales Gesundheit
Wada test;Wada-Test
Waddell's signs;Waddell Zeichen
Walker (mobility);Walker (Mobilität)
Walking wounded;Walking wounded
Wallenberg's syndrome;Wallenberg-Syndrom
Wallenberg syndrome;Wallenberg-Syndrom
Wandering (dementia);Wandern (Demenz)
Wartenberg's migratory sensory neuropathy;Wartenberg ist wandernden sensorische Neuropathie
Warthin's tumor;Warthin-Tumor
Wastebasket diagnosis;Papierkorb Diagnose
